n,alphaTarget,wallHandAlpha,whAlphaScaled,whBlendT_bp,turnBlockT,dtRowOK
137,1.000,0.711,0.711,0.711,0.000,1
138,1.000,1.000,1.000,1.000,0.000,1
139,1.000,1.000,1.000,1.000,0.000,1
140,1.000,1.000,1.000,1.000,0.000,1
141,1.000,1.000,1.000,1.000,0.000,1
142,1.000,1.000,1.000,1.000,0.000,1
143,1.000,1.000,1.000,1.000,0.000,1
144,0.000,1.000,1.000,1.000,0.000,1
145,0.000,0.556,0.556,0.556,0.000,1
146,0.000,0.112,0.112,0.112,0.000,1
147,0.000,0.000,0.000,0.000,0.000,1
148,0.000,0.000,0.000,0.000,0.000,1
149,0.000,0.000,0.000,0.000,0.000,1
150,0.000,0.000,0.000,0.000,0.000,1
151,0.000,0.000,0.000,0.000,0.000,1
152,0.000,0.000,0.000,0.000,0.000,1
153,0.000,0.000,0.000,0.000,0.000,1
154,0.000,0.000,0.000,0.000,0.000,1
155,0.000,0.000,0.000,0.000,0.000,1
156,1.000,0.105,0.105,0.105,0.000,1
157,1.000,0.429,0.429,0.429,0.000,1
158,1.000,0.752,0.752,0.752,0.000,1
159,1.000,1.000,1.000,1.000,0.000,1
160,1.000,1.000,1.000,1.000,0.000,1
161,1.000,1.000,1.000,1.000,0.000,1
162,0.000,0.928,0.928,0.928,0.000,1
163,0.000,0.547,0.547,0.547,0.000,1
164,0.000,0.170,0.170,0.170,0.000,1
165,0.000,0.000,0.000,0.000,0.000,1
166,0.000,0.000,0.000,0.000,0.000,1
167,0.000,0.000,0.000,0.000,0.800,1
168,1.000,0.000,0.000,0.000,0.625,1
169,1.000,0.000,0.000,0.000,0.450,1
170,1.000,0.000,0.000,0.000,0.276,1
171,1.000,0.000,0.000,0.000,0.100,1
172,1.000,0.216,0.216,0.216,0.000,1
173,1.000,0.537,0.537,0.537,0.000,1
174,1.000,0.855,0.855,0.855,0.000,1
175,1.000,1.000,1.000,1.000,0.000,1
176,1.000,1.000,1.000,1.000,0.000,1
177,1.000,1.000,1.000,1.000,0.000,1
178,1.000,1.000,1.000,1.000,0.000,1
179,1.000,1.000,1.000,1.000,0.000,1
180,1.000,1.000,1.000,1.000,0.000,1
181,1.000,1.000,1.000,1.000,0.000,1
182,0.000,0.857,0.857,0.857,0.000,1
183,0.000,0.423,0.423,0.423,0.000,1
184,0.000,0.000,0.000,0.000,0.000,1
185,0.000,0.000,0.000,0.000,0.000,1
186,0.000,0.000,0.000,0.000,0.000,1
187,0.000,0.000,0.000,0.000,0.000,1
188,0.000,0.000,0.000,0.000,0.000,1
189,0.000,0.000,0.000,0.000,0.000,1
190,0.000,0.000,0.000,0.000,0.000,1
191,0.000,0.000,0.000,0.000,0.000,1
192,0.000,0.000,0.000,0.000,0.000,1
193,0.000,0.000,0.000,0.000,0.000,1
194,0.000,0.000,0.000,0.000,0.000,1
195,0.000,0.000,0.000,0.000,0.000,1
196,0.000,0.000,0.000,0.000,0.000,1
197,0.000,0.000,0.000,0.000,0.000,1
198,0.000,0.000,0.000,0.000,0.000,1
199,0.000,0.000,0.000,0.000,0.000,1
200,0.000,0.000,0.000,0.000,0.000,1
201,0.000,0.000,0.000,0.000,0.000,1
202,0.000,0.000,0.000,0.000,0.000,1
203,0.000,0.000,0.000,0.000,0.000,1
204,0.000,0.000,0.000,0.000,0.000,1
205,0.000,0.000,0.000,0.000,0.000,1
206,0.000,0.000,0.000,0.000,0.000,1
207,0.000,0.000,0.000,0.000,0.000,1
208,0.000,0.000,0.000,0.000,0.000,1
209,0.000,0.000,0.000,0.000,0.000,1
210,0.000,0.000,0.000,0.000,0.000,1
211,0.000,0.000,0.000,0.000,0.000,1
212,0.000,0.000,0.000,0.000,0.000,1
213,0.000,0.000,0.000,0.000,0.000,1
214,0.000,0.000,0.000,0.000,0.000,1
215,0.000,0.000,0.000,0.000,0.000,1
216,0.000,0.000,0.000,0.000,0.000,1
217,0.000,0.000,0.000,0.000,0.000,1
218,0.000,0.000,0.000,0.000,0.000,1
219,0.000,0.000,0.000,0.000,0.000,1
220,0.000,0.000,0.000,0.000,0.000,1
221,0.000,0.000,0.000,0.000,0.000,1
222,0.000,0.000,0.000,0.000,0.000,1
223,0.000,0.000,0.000,0.000,0.000,1
224,0.000,0.000,0.000,0.000,0.000,1
225,0.000,0.000,0.000,0.000,0.000,1
226,0.000,0.000,0.000,0.000,0.000,1
227,0.000,0.000,0.000,0.000,0.000,1
228,0.000,0.000,0.000,0.000,0.000,1
229,0.000,0.000,0.000,0.000,0.000,1
230,0.000,0.000,0.000,0.000,0.000,1
231,0.000,0.000,0.000,0.000,0.000,1
232,0.000,0.000,0.000,0.000,0.000,1
233,0.000,0.000,0.000,0.000,0.000,1
234,0.000,0.000,0.000,0.000,0.000,1
235,0.000,0.000,0.000,0.000,0.000,1
236,0.000,0.000,0.000,0.000,0.000,1
237,0.000,0.000,0.000,0.000,0.000,1
238,0.000,0.000,0.000,0.000,0.000,1
239,0.000,0.000,0.000,0.000,0.000,1
240,0.000,0.000,0.000,0.000,0.000,1
241,0.000,0.000,0.000,0.000,0.000,1
242,0.000,0.000,0.000,0.000,0.000,1
243,0.000,0.000,0.000,0.000,0.000,1
244,0.000,0.000,0.000,0.000,0.000,1
245,0.000,0.000,0.000,0.000,0.000,1
246,0.000,0.000,0.000,0.000,0.000,1
247,0.000,0.000,0.000,0.000,0.000,1
248,0.000,0.000,0.000,0.000,0.000,1
249,0.000,0.000,0.000,0.000,0.000,1
250,0.000,0.000,0.000,0.000,0.000,1
251,0.000,0.000,0.000,0.000,0.000,1
252,0.000,0.000,0.000,0.000,0.000,1
253,0.000,0.000,0.000,0.000,0.000,1
254,0.000,0.000,0.000,0.000,0.000,1
255,0.000,0.000,0.000,0.000,0.000,1
256,0.000,0.000,0.000,0.000,0.000,1
257,0.000,0.000,0.000,0.000,0.000,1
258,0.000,0.000,0.000,0.000,0.000,1
259,0.000,0.000,0.000,0.000,0.000,1
260,0.000,0.000,0.000,0.000,0.000,1
261,0.000,0.000,0.000,0.000,0.000,1
262,0.000,0.000,0.000,0.000,0.000,1
263,0.000,0.000,0.000,0.000,0.000,1
264,0.000,0.000,0.000,0.000,0.000,1
265,0.000,0.000,0.000,0.000,0.000,1
266,0.000,0.000,0.000,0.000,0.000,1
267,0.000,0.000,0.000,0.000,0.000,1
268,0.000,0.000,0.000,0.000,0.000,1
269,0.000,0.000,0.000,0.000,0.000,1
270,0.000,0.000,0.000,0.000,0.000,1
271,0.000,0.000,0.000,0.000,0.000,1
272,0.000,0.000,0.000,0.000,0.000,1
273,0.000,0.000,0.000,0.000,0.000,1
274,0.000,0.000,0.000,0.000,0.000,1
275,0.000,0.000,0.000,0.000,0.000,1
276,0.000,0.000,0.000,0.000,0.000,1
277,0.000,0.000,0.000,0.000,0.000,1
278,0.000,0.000,0.000,0.000,0.000,1
279,0.000,0.000,0.000,0.000,0.000,1
280,0.000,0.000,0.000,0.000,0.000,1
281,0.000,0.000,0.000,0.000,0.000,1
282,0.000,0.000,0.000,0.000,0.000,1
283,0.000,0.000,0.000,0.000,0.000,1
284,0.000,0.000,0.000,0.000,0.000,1
285,0.000,0.000,0.000,0.000,0.000,1
286,0.000,0.000,0.000,0.000,0.000,1
287,0.000,0.000,0.000,0.000,0.000,1
288,0.000,0.000,0.000,0.000,0.000,1
289,0.000,0.000,0.000,0.000,0.000,1
290,0.000,0.000,0.000,0.000,0.000,1
291,0.000,0.000,0.000,0.000,0.000,1
292,0.000,0.000,0.000,0.000,0.000,1
293,0.000,0.000,0.000,0.000,0.000,1
294,0.000,0.000,0.000,0.000,0.000,1
295,0.000,0.000,0.000,0.000,0.000,1
296,0.000,0.000,0.000,0.000,0.000,1
297,0.000,0.000,0.000,0.000,0.000,1
298,0.000,0.000,0.000,0.000,0.000,1
299,0.000,0.000,0.000,0.000,0.000,1
300,0.000,0.000,0.000,0.000,0.000,1
301,0.000,0.000,0.000,0.000,0.000,1
302,0.000,0.000,0.000,0.000,0.000,1
303,0.000,0.000,0.000,0.000,0.000,1
304,0.000,0.000,0.000,0.000,0.000,1
305,0.000,0.000,0.000,0.000,0.000,1
306,0.000,0.000,0.000,0.000,0.000,1
307,0.000,0.000,0.000,0.000,0.000,1
308,0.000,0.000,0.000,0.000,0.000,1
309,0.000,0.000,0.000,0.000,0.000,1
310,0.000,0.000,0.000,0.000,0.000,1
311,0.000,0.000,0.000,0.000,0.000,1
312,0.000,0.000,0.000,0.000,0.000,1
313,0.000,0.000,0.000,0.000,0.000,1
314,0.000,0.000,0.000,0.000,0.000,1
315,0.000,0.000,0.000,0.000,0.000,1
316,0.000,0.000,0.000,0.000,0.000,1
317,0.000,0.000,0.000,0.000,0.000,1
318,0.000,0.000,0.000,0.000,0.000,1
319,0.000,0.000,0.000,0.000,0.000,1
320,0.000,0.000,0.000,0.000,0.000,1
321,0.000,0.000,0.000,0.000,0.000,1
322,0.000,0.000,0.000,0.000,0.000,1
323,0.000,0.000,0.000,0.000,0.000,1
324,0.000,0.000,0.000,0.000,0.000,1
325,0.000,0.000,0.000,0.000,0.000,1
326,0.000,0.000,0.000,0.000,0.800,1
327,0.000,0.000,0.000,0.000,0.800,1
328,1.000,0.000,0.000,0.000,0.651,1
329,1.000,0.000,0.000,0.000,0.652,1
330,1.000,0.000,0.000,0.000,0.478,1
331,1.000,0.000,0.000,0.000,0.302,1
332,1.000,0.000,0.000,0.000,0.123,1
333,1.000,0.158,0.158,0.158,0.000,1
334,1.000,0.480,0.480,0.480,0.000,1
335,1.000,0.805,0.805,0.805,0.000,1
336,1.000,1.000,1.000,1.000,0.000,1
337,1.000,1.000,1.000,1.000,0.000,1
338,1.000,1.000,1.000,1.000,0.000,1
339,0.000,0.782,0.782,0.782,0.000,1
340,0.000,0.403,0.403,0.403,0.000,1
341,0.000,0.000,0.000,0.000,0.000,1
342,0.000,0.000,0.000,0.000,0.000,1
343,0.000,0.000,0.000,0.000,0.000,1
344,0.000,0.000,0.000,0.000,0.000,1
345,1.000,0.055,0.055,0.055,0.000,1
346,1.000,0.372,0.372,0.372,0.000,1
347,1.000,0.707,0.707,0.707,0.000,1
348,1.000,0.977,0.977,0.977,0.000,1
349,1.000,1.000,1.000,1.000,0.000,1
350,1.000,1.000,1.000,1.000,0.000,1
351,0.000,0.925,0.925,0.925,0.000,1
352,0.000,0.489,0.489,0.489,0.000,1
353,0.000,0.048,0.048,0.048,0.000,1
354,0.000,0.000,0.000,0.000,0.000,1
355,0.000,0.000,0.000,0.000,0.000,1
356,0.000,0.000,0.000,0.000,0.000,1
357,0.000,0.000,0.000,0.000,0.000,1
358,0.000,0.000,0.000,0.000,0.000,1
359,0.000,0.000,0.000,0.000,0.000,1
360,0.000,0.000,0.000,0.000,0.000,1
361,0.000,0.000,0.000,0.000,0.000,1
362,0.000,0.000,0.000,0.000,0.000,1
363,0.000,0.000,0.000,0.000,0.000,1
364,0.000,0.000,0.000,0.000,0.000,1
365,0.000,0.000,0.000,0.000,0.000,1
366,0.000,0.000,0.000,0.000,0.000,1
367,0.000,0.000,0.000,0.000,0.000,1
368,0.000,0.000,0.000,0.000,0.000,1
369,0.000,0.000,0.000,0.000,0.000,1
370,0.000,0.000,0.000,0.000,0.000,1
371,0.000,0.000,0.000,0.000,0.000,1
372,0.000,0.000,0.000,0.000,0.000,1
373,0.000,0.000,0.000,0.000,0.000,1
374,0.000,0.000,0.000,0.000,0.000,1
375,0.000,0.000,0.000,0.000,0.000,1
376,0.000,0.000,0.000,0.000,0.000,1
377,0.000,0.000,0.000,0.000,0.000,1
378,0.000,0.000,0.000,0.000,0.000,1
379,0.000,0.000,0.000,0.000,0.000,1
380,0.000,0.000,0.000,0.000,0.000,1
381,0.000,0.000,0.000,0.000,0.000,1
382,0.000,0.000,0.000,0.000,0.000,1
383,0.000,0.000,0.000,0.000,0.000,1
384,0.000,0.000,0.000,0.000,0.000,1
385,0.000,0.000,0.000,0.000,0.000,1
386,0.000,0.000,0.000,0.000,0.000,1
387,0.000,0.000,0.000,0.000,0.000,1
388,0.000,0.000,0.000,0.000,0.000,1
389,0.000,0.000,0.000,0.000,0.000,1
390,0.000,0.000,0.000,0.000,0.000,1
391,0.000,0.000,0.000,0.000,0.000,1
392,0.000,0.000,0.000,0.000,0.000,1
393,0.000,0.000,0.000,0.000,0.000,1
394,0.000,0.000,0.000,0.000,0.000,1
395,0.000,0.000,0.000,0.000,0.000,1
396,0.000,0.000,0.000,0.000,0.000,1
397,0.000,0.000,0.000,0.000,0.000,1
398,0.000,0.000,0.000,0.000,0.000,1
399,0.000,0.000,0.000,0.000,0.000,1
400,0.000,0.000,0.000,0.000,0.000,1
401,0.000,0.000,0.000,0.000,0.000,1
402,0.000,0.000,0.000,0.000,0.000,1
403,0.000,0.000,0.000,0.000,0.000,1
404,0.000,0.000,0.000,0.000,0.000,1
405,0.000,0.000,0.000,0.000,0.000,1
406,0.000,0.000,0.000,0.000,0.000,1
407,0.000,0.000,0.000,0.000,0.000,1
408,0.000,0.000,0.000,0.000,0.000,1
409,0.000,0.000,0.000,0.000,0.000,1
410,0.000,0.000,0.000,0.000,0.000,1
411,0.000,0.000,0.000,0.000,0.000,1
412,0.000,0.000,0.000,0.000,0.000,1
413,0.000,0.000,0.000,0.000,0.000,1
414,0.000,0.000,0.000,0.000,0.000,1
415,0.000,0.000,0.000,0.000,0.000,1
416,0.000,0.000,0.000,0.000,0.000,1
417,0.000,0.000,0.000,0.000,0.000,1
418,0.000,0.000,0.000,0.000,0.000,1
419,0.000,0.000,0.000,0.000,0.000,1
420,0.000,0.000,0.000,0.000,0.800,1
421,0.000,0.000,0.000,0.000,0.670,1
422,1.000,0.000,0.000,0.000,0.508,1
423,1.000,0.000,0.000,0.000,0.350,1
424,1.000,0.000,0.000,0.000,0.188,1
425,1.000,0.057,0.057,0.057,0.027,1
426,1.000,0.346,0.346,0.346,0.000,1
427,1.000,0.639,0.639,0.639,0.000,1
428,1.000,0.929,0.929,0.929,0.000,1
429,1.000,1.000,1.000,1.000,0.000,1
430,1.000,1.000,1.000,1.000,0.000,1
431,1.000,1.000,1.000,1.000,0.000,1
432,1.000,1.000,1.000,1.000,0.000,1
433,1.000,1.000,1.000,1.000,0.000,1
434,1.000,1.000,1.000,1.000,0.000,1
435,0.000,1.000,1.000,1.000,0.000,1
436,0.000,0.599,0.599,0.599,0.000,1
437,0.000,0.208,0.208,0.208,0.000,1
438,0.000,0.000,0.000,0.000,0.000,1
439,0.000,0.000,0.000,0.000,0.000,1
440,0.000,0.000,0.000,0.000,0.000,1
441,0.000,0.000,0.000,0.000,0.000,1
442,0.000,0.000,0.000,0.000,0.000,1
443,0.000,0.000,0.000,0.000,0.000,1
444,1.000,0.224,0.224,0.224,0.000,1
445,1.000,0.516,0.516,0.516,0.000,1
446,1.000,0.797,0.797,0.797,0.000,1
447,1.000,1.000,1.000,1.000,0.000,1
448,1.000,1.000,1.000,1.000,0.000,1
449,0.000,0.765,0.765,0.765,0.000,1
450,0.000,0.376,0.376,0.376,0.000,1
451,0.000,0.000,0.000,0.000,0.000,1
452,0.000,0.000,0.000,0.000,0.000,1
453,0.000,0.000,0.000,0.000,0.000,1
454,0.000,0.000,0.000,0.000,0.000,1
455,0.000,0.000,0.000,0.000,0.000,1
456,0.000,0.000,0.000,0.000,0.000,1
457,0.000,0.000,0.000,0.000,0.000,1
458,1.000,0.115,0.115,0.115,0.000,1
459,1.000,0.402,0.402,0.402,0.000,1
460,1.000,0.683,0.683,0.683,0.000,1
461,1.000,0.966,0.966,0.966,0.000,1
462,1.000,1.000,1.000,1.000,0.000,1
463,1.000,1.000,1.000,1.000,0.000,1
464,1.000,1.000,1.000,1.000,0.000,1
465,1.000,1.000,1.000,1.000,0.000,1
466,1.000,1.000,1.000,1.000,0.000,1
467,1.000,1.000,1.000,1.000,0.000,1
468,0.000,0.842,0.842,0.842,0.000,1
469,0.000,0.454,0.454,0.454,0.000,1
470,0.000,0.054,0.054,0.054,0.000,1
471,0.000,0.000,0.000,0.000,0.000,1
472,0.000,0.000,0.000,0.000,0.800,1
473,1.000,0.000,0.000,0.000,0.738,1
474,1.000,0.000,0.000,0.000,0.584,1
475,1.000,0.000,0.000,0.000,0.427,1
476,1.000,0.000,0.000,0.000,0.276,1
477,1.000,0.000,0.000,0.000,0.118,1
478,1.000,0.169,0.169,0.169,0.000,1
479,1.000,0.453,0.453,0.453,0.000,1
480,1.000,0.731,0.731,0.731,0.000,1
481,1.000,1.000,1.000,1.000,0.000,1
482,1.000,1.000,1.000,1.000,0.000,1
483,1.000,1.000,1.000,1.000,0.000,1
484,1.000,1.000,1.000,1.000,0.000,1
485,1.000,1.000,1.000,1.000,0.000,1
486,1.000,1.000,1.000,1.000,0.000,1
487,0.000,0.924,0.924,0.924,0.000,1
488,0.000,0.541,0.541,0.541,0.000,1
489,0.000,0.147,0.147,0.147,0.000,1
490,0.000,0.000,0.000,0.000,0.000,1
491,0.000,0.000,0.000,0.000,0.000,1
492,0.000,0.000,0.000,0.000,0.000,1
493,0.000,0.000,0.000,0.000,0.000,1
494,0.000,0.000,0.000,0.000,0.000,1
495,0.000,0.000,0.000,0.000,0.000,1
496,0.000,0.000,0.000,0.000,0.000,1
497,0.000,0.000,0.000,0.000,0.000,1
498,0.000,0.000,0.000,0.000,0.000,1
499,0.000,0.000,0.000,0.000,0.000,1
500,0.000,0.000,0.000,0.000,0.000,1
501,0.000,0.000,0.000,0.000,0.000,1
502,0.000,0.000,0.000,0.000,0.000,1
503,0.000,0.000,0.000,0.000,0.000,1
504,0.000,0.000,0.000,0.000,0.000,1
505,0.000,0.000,0.000,0.000,0.000,1
506,0.000,0.000,0.000,0.000,0.000,1
507,0.000,0.000,0.000,0.000,0.000,1
508,0.000,0.000,0.000,0.000,0.000,1
509,0.000,0.000,0.000,0.000,0.000,1
510,0.000,0.000,0.000,0.000,0.000,1
511,0.000,0.000,0.000,0.000,0.000,1
512,0.000,0.000,0.000,0.000,0.000,1
513,0.000,0.000,0.000,0.000,0.000,1
514,0.000,0.000,0.000,0.000,0.000,1
515,0.000,0.000,0.000,0.000,0.000,1
516,0.000,0.000,0.000,0.000,0.000,1
517,0.000,0.000,0.000,0.000,0.000,1
518,0.000,0.000,0.000,0.000,0.000,1
519,0.000,0.000,0.000,0.000,0.000,1
520,0.000,0.000,0.000,0.000,0.000,1
521,0.000,0.000,0.000,0.000,0.000,1
522,0.000,0.000,0.000,0.000,0.000,1
523,0.000,0.000,0.000,0.000,0.000,1
524,0.000,0.000,0.000,0.000,0.000,1
525,0.000,0.000,0.000,0.000,0.000,1
526,0.000,0.000,0.000,0.000,0.000,1
527,0.000,0.000,0.000,0.000,0.000,1
528,0.000,0.000,0.000,0.000,0.000,1
529,0.000,0.000,0.000,0.000,0.000,1
530,0.000,0.000,0.000,0.000,0.000,1
531,0.000,0.000,0.000,0.000,0.000,1
532,0.000,0.000,0.000,0.000,0.000,1
533,0.000,0.000,0.000,0.000,0.000,1
534,0.000,0.000,0.000,0.000,0.000,1
535,0.000,0.000,0.000,0.000,0.000,1
536,0.000,0.000,0.000,0.000,0.000,1
537,0.000,0.000,0.000,0.000,0.000,1
538,0.000,0.000,0.000,0.000,0.000,1
539,0.000,0.000,0.000,0.000,0.000,1
540,0.000,0.000,0.000,0.000,0.000,1
541,0.000,0.000,0.000,0.000,0.000,1
542,0.000,0.000,0.000,0.000,0.000,1
543,0.000,0.000,0.000,0.000,0.000,1
544,0.000,0.000,0.000,0.000,0.000,1
545,0.000,0.000,0.000,0.000,0.000,1
546,0.000,0.000,0.000,0.000,0.000,1
547,0.000,0.000,0.000,0.000,0.000,1
548,0.000,0.000,0.000,0.000,0.000,1
549,0.000,0.000,0.000,0.000,0.000,1
550,0.000,0.000,0.000,0.000,0.000,1
551,0.000,0.000,0.000,0.000,0.000,1
552,0.000,0.000,0.000,0.000,0.000,1
553,0.000,0.000,0.000,0.000,0.000,1
554,0.000,0.000,0.000,0.000,0.000,1
555,0.000,0.000,0.000,0.000,0.000,1
556,0.000,0.000,0.000,0.000,0.000,1
557,0.000,0.000,0.000,0.000,0.000,1
558,0.000,0.000,0.000,0.000,0.000,1
559,0.000,0.000,0.000,0.000,0.000,1
560,0.000,0.000,0.000,0.000,0.000,1
561,0.000,0.000,0.000,0.000,0.000,1
562,0.000,0.000,0.000,0.000,0.000,1
563,0.000,0.000,0.000,0.000,0.000,1
564,0.000,0.000,0.000,0.000,0.000,1
565,0.000,0.000,0.000,0.000,0.000,1
566,0.000,0.000,0.000,0.000,0.000,1
567,0.000,0.000,0.000,0.000,0.000,1
568,0.000,0.000,0.000,0.000,0.000,1
569,0.000,0.000,0.000,0.000,0.000,1
570,0.000,0.000,0.000,0.000,0.000,1
571,0.000,0.000,0.000,0.000,0.000,1
572,0.000,0.000,0.000,0.000,0.000,1
573,0.000,0.000,0.000,0.000,0.000,1
574,0.000,0.000,0.000,0.000,0.000,1
575,0.000,0.000,0.000,0.000,0.000,1
576,0.000,0.000,0.000,0.000,0.000,1
577,0.000,0.000,0.000,0.000,0.000,1
578,0.000,0.000,0.000,0.000,0.000,1
579,0.000,0.000,0.000,0.000,0.000,1
